UMAP1,UMAP2,cell_type,anatomical_division_label
2.9565856,20.635895,Ependymal,Cerebellum
0.09843001,-9.224354,Unknown,Cerebral cortex
-0.012088153,2.7632122,Activated Microglia,Basal nuclei
-0.6059449,3.2257695,Activated Microglia,Hippocampus
1.5942265,6.021713,Activated Microglia,Cerebral cortex
12.387639,12.887826,Border Macrophage,Hippocampus
12.022297,3.709571,Astrocyte,Midbrain
0.8009814,6.892877,Activated Microglia,Thalamus
1.5795217,3.3685443,Endothelial,Basal nuclei
1.9859661,4.449498,Activated Microglia,Midbrain
13.5810995,4.1333313,Astrocyte,Hypothalamus
-0.4158944,2.3825011,Endothelial,Midbrain
-3.3083143,4.0991497,Activated Microglia,Pons
4.3587017,14.932569,Astrocyte_2,Amygdaloid complex
12.467658,2.0282907,Astrocyte,Cerebellum
11.362857,8.75593,Fibroblast,Thalamus
-3.976639,5.85925,Activated Microglia,Midbrain
-1.2377775,5.252645,Activated Microglia,Midbrain
1.0779122,-9.092169,Unknown,Cerebral cortex
12.83075,2.2139666,Astrocyte,Cerebral cortex
3.4124525,0.11288122,Oligodendrocyte,Basal nuclei
5.132136,11.359302,Astrocyte_2,Cerebral cortex
2.692628,6.3855753,Activated Microglia,Thalamus
2.5902812,3.9966373,Activated Microglia,Hippocampus
2.0670478,-9.958164,Unknown,Cerebral cortex
13.263559,1.5414116,Astrocyte,Midbrain
2.0122476,4.5975623,Activated Microglia,Thalamus
2.4525611,1.3755152,Oligodendrocyte,Hippocampus
2.0742989,1.2822104,Oligodendrocyte,Thalamus
-0.19409348,-8.631961,Unknown,Claustrum
5.636104,15.089887,Astrocyte_2,Hippocampus
-0.9112871,3.3748207,Activated Microglia,Thalamus
2.399767,-1.9414463,Oligodendrocyte,Midbrain
-0.5460899,2.0636737,Endothelial,Thalamus
0.067495175,14.254348,Pericyte,Hypothalamus
4.0437794,3.1016707,Oligodendrocyte,Cerebral cortex
-1.6676298,0.05286816,Endothelial,Cerebral cortex
-0.07652341,15.812955,Pericyte,Pons
1.6000326,1.5034726,Oligodendrocyte,Pons
4.798668,14.695054,Astrocyte_2,Hippocampus
0.10623612,5.4224944,Activated Microglia,Midbrain
-0.38277912,1.2672875,Endothelial,Basal nuclei
-2.0299594,13.525144,Pericyte,Midbrain
0.20264176,5.036081,Activated Microglia,Hippocampus
0.70812595,-9.482885,Unknown,Hypothalamus
6.3081446,15.191659,Astrocyte_2,Cerebral cortex
-0.8141881,1.2173287,Endothelial,Basal nuclei
3.7835956,4.580985,Activated Microglia,Hippocampus
0.1923271,2.0366151,Endothelial,Midbrain
13.517959,4.027923,Astrocyte,Cerebral cortex
9.120907,7.096709,Fibroblast,Cerebral cortex
-1.0045886,-0.01836206,Endothelial,Hippocampus
0.0035700253,13.185891,Pericyte,Pons
3.895431,14.439663,Astrocyte_2,Hippocampus
5.1204515,13.956782,Astrocyte_2,Hippocampus
12.740628,-0.20425788,Astrocyte,Basal nuclei
3.7318082,5.5067296,Activated Microglia,Extended amygdala
0.54108536,-9.313319,Unknown,Hippocampus
0.489812,1.5020174,Activated Microglia,Cerebellum
4.6248603,5.107527,Activated Microglia,Thalamus
1.696399,3.9563692,Endothelial,Pons
3.3161092,-8.396946,Unknown,Cerebral cortex
-0.35939312,14.034246,Pericyte,Pons
4.77959,14.8760195,Astrocyte_2,Hippocampus
3.3251078,-8.510543,Unknown,Midbrain
-1.411213,4.9281554,Activated Microglia,Midbrain
1.549647,0.8463447,Oligodendrocyte,Amygdaloid complex
-2.43264,6.076061,Activated Microglia,Midbrain
-1.6309499,14.226384,Pericyte,Basal nuclei
3.0573032,4.785236,Activated Microglia,Midbrain
11.657638,4.343533,Astrocyte,Midbrain
2.9324813,0.54952425,Oligodendrocyte,Hippocampus
1.8037467,-1.3940245,Oligodendrocyte,Pons
0.5054323,-8.106225,Unknown,Thalamus
1.3150984,4.425129,Activated Microglia,Thalamus
3.7179694,3.4613278,Oligodendrocyte,Thalamus
3.099191,5.6802273,Activated Microglia,Claustrum
0.102512196,-1.4391065,Oligodendrocyte,Cerebral cortex
0.048239335,2.3579123,Endothelial,Hippocampus
3.4515343,-9.34973,Unknown,Hippocampus
-3.6163425,5.562889,Activated Microglia,Midbrain
-1.9473917,2.3079233,Activated Microglia,Thalamus
1.1219022,0.12561198,Oligodendrocyte,Midbrain
12.178977,12.713697,Border Macrophage,Amygdaloid complex
6.179186,13.55711,Astrocyte_2,Cerebral cortex
2.2241876,-10.011973,Unknown,Amygdaloid complex
1.1656442,4.515317,Activated Microglia,Cerebral cortex
12.466562,13.000101,Border Macrophage,Hippocampus
1.8195409,-7.471336,Unknown,Midbrain
2.863986,6.3104534,Activated Microglia,Thalamus
11.944746,-0.06807398,Astrocyte,Cerebellum
1.0003803,-10.028773,Unknown,Cerebral cortex
-0.25663677,4.3586636,Activated Microglia,Hippocampus
-1.4342449,1.7742931,Endothelial,Hippocampus
2.175801,-0.87005514,Oligodendrocyte,Thalamus
-2.7457175,14.062583,Pericyte,Midbrain
-2.129523,1.5763831,Endothelial,Thalamus
0.99169296,-7.189878,Unknown,Amygdaloid complex
1.8935835,13.160481,Pericyte,Basal forebrain
3.099594,-0.28314638,Oligodendrocyte,Pons
6.0495462,13.757263,Astrocyte_2,Cerebral cortex
11.788421,-0.12501551,Astrocyte,Basal nuclei
-0.72132456,13.980979,Pericyte,Thalamus
3.128469,-8.896891,Unknown,Thalamus
-1.947138,1.1250417,Endothelial,Midbrain
-2.7152767,2.4618983,Activated Microglia,Thalamus
3.7884276,-9.331269,Unknown,Extended amygdala
4.601999,2.9537902,Oligodendrocyte,Basal nuclei
-0.9786031,2.8465316,Endothelial,Basal nuclei
9.456659,9.975021,Choroid Plexus,Thalamus
4.9100566,4.463163,Oligodendrocyte,Thalamus
0.08744358,1.7449832,Endothelial,Basal nuclei
-0.8524825,-0.29310122,Oligodendrocyte,Thalamus
5.473619,13.417191,Astrocyte_2,Cerebral cortex
2.4853213,4.7756033,Activated Microglia,Cerebral cortex
0.94976085,3.0865583,Endothelial,Midbrain
-2.4200683,0.5753455,Endothelial,Pons
0.9177693,5.489561,Activated Microglia,Midbrain
1.6240139,5.73935,Activated Microglia,Amygdaloid complex
-1.0985022,0.8066854,Endothelial,Basal nuclei
-2.9614356,4.83511,Activated Microglia,Cerebellum
-2.6443875,4.789787,Activated Microglia,Cerebellum
1.0846343,13.039722,Pericyte,Myelencephalon
12.620351,3.4538388,Astrocyte,Amygdaloid complex
1.2170408,15.56121,Pericyte,Hippocampus
9.6297655,9.392709,Choroid Plexus,Myelencephalon
-2.1260095,4.6957645,Activated Microglia,Midbrain
1.9619491,-8.459815,Unknown,Cerebral cortex
-1.1009711,0.73957044,Endothelial,Basal nuclei
3.3054233,4.8930736,Activated Microglia,Cerebral cortex
4.4337397,2.8080425,Oligodendrocyte,Thalamus
1.5125817,0.12328621,Oligodendrocyte,Midbrain
1.6078756,-7.303613,Unknown,Cerebral cortex
5.2216134,14.053032,Astrocyte_2,Hippocampus
14.007416,2.5213907,Astrocyte,Hippocampus
0.09753324,-1.3554945,Oligodendrocyte,Pons
12.82671,2.9951224,Astrocyte,Hippocampus
4.5805354,3.4351387,Oligodendrocyte,Cerebral cortex
-2.7994826,13.7636795,Pericyte,Basal nuclei
12.243381,8.360243,Fibroblast,Thalamus
