source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Upper-layer intratelencephalic,MGE interneuron,SEMA3E,NRP1,0.82276374,1.0,0.60037905,-0.1769295786299612,-0.6899365301786844,0.009222204,0.59473354,1.0,0.405859796883945
Astrocyte_2,Deep-layer intratelencephalic,EFNA5,EPHA4,4.4103246,0.0,19.401697,0.2958731150454642,0.30996122804103843,0.023877332,0.8929607,0.1926555172101668,0.40943519340915047
Deep-layer intratelencephalic,CGE interneuron,EFNA5,EPHA4,4.399353,0.0,17.894863,0.28459445319447807,0.3113227155698919,0.022022896,0.88903505,0.29818105735951994,0.4130527805566405
Deep-layer intratelencephalic,Hippocampal CA1-3,EFNB2,EPHA6,4.560031,0.0,17.563078,0.5099574953353049,0.7865727560335283,0.034094892,0.88810855,0.11817595395266588,0.4130527805566405
Astrocyte,Upper-layer intratelencephalic,C3,NRP1,3.397274,0.0,8.808462,1.0168224254018596,3.6389514980947197,0.09514444,0.8489671,0.004027892451775755,0.41430524002548563
Hippocampal dentate gyrus,MGE interneuron,CNTN6,PTPRG,3.6841192,0.0,7.570269,0.13913292661632437,0.14993227776206952,0.015206998,0.83899647,1.0,0.41430524002548563
CGE interneuron,CGE interneuron,FN1,ITGA6,0.84618807,0.96,0.6042834,-0.021501155350440938,-0.5190081731403053,0.012177613,0.5955146,1.0,0.4150480008325928
Hippocampal dentate gyrus,Hippocampal CA1-3,CNTN6,PTPRG,3.6838784,0.0,7.569675,0.13903449414137004,0.21161408317520847,0.015205806,0.83899117,1.0,0.4170189835765542
Hippocampal CA1-3,Hippocampal CA1-3,EFNA5,EPHA4,4.38183,0.0,18.556879,0.28868189158454766,0.2347221987877539,0.02283763,0.8908143,0.2367579496238584,0.4203244572535372
Hippocampal dentate gyrus,Upper-layer intratelencephalic,CNTN6,PTPRG,3.574379,0.0,7.2994027,0.0958234139628389,-0.08455065270728612,0.014662888,0.8365203,1.0,0.4224821148132873
Astrocyte,Deep-layer intratelencephalic,C3,NRP1,3.3714304,0.0,8.547418,1.0071191477182457,3.595164839907657,0.09232477,0.84702826,0.004459004804627688,0.4224821148132873
Astrocyte_2,Hippocampal CA1-3,FN1,ITGA6,0.7855021,1.0,0.60497534,-0.0487332822553093,-0.4026412707419005,0.012191556,0.59565234,1.0,0.4242144832819421
MGE interneuron,CGE interneuron,EFNB2,EPHA6,3.42251,0.0,8.862745,0.0775935672848973,-0.09650442339253784,0.01720509,0.8493605,0.9690815267486609,0.4279926053776534
CGE interneuron,Upper-layer intratelencephalic,EFNB2,EPHA4,3.3563151,0.0,8.853513,0.2764599261783023,0.39764067662719516,0.023245387,0.8492938,0.22198171831487418,0.4307657286512383
MGE interneuron,Astrocyte_2,EFNA5,EPHA6,4.365879,0.0,19.028212,0.07707610343301544,-0.2414021934881223,0.017314564,0.8920282,1.0,0.43132250587379417
Deep-layer intratelencephalic,MGE interneuron,SERPINF1,PLXDC1,0.79402685,0.0,0.6165572,0.12349045256285754,-0.027494257500429553,0.026488597,0.5979339,0.6790590646294528,0.43335926993789387
Hippocampal CA1-3,Hippocampal dentate gyrus,CNTN6,PTPRG,3.497144,0.0,8.88738,0.07283652577579848,-0.2591823944028815,0.017852785,0.84953797,1.0,0.4335509525888615
Hippocampal dentate gyrus,Deep-layer intratelencephalic,CNTN6,PTPRG,3.5166712,0.0,7.1569653,0.07304998723030721,-0.11575357450037549,0.014376763,0.8351684,1.0,0.4335509525888615
Deep-layer intratelencephalic,Hippocampal dentate gyrus,EFNB2,EPHA6,4.477159,0.0,17.105198,0.483313239978867,0.6048975706427426,0.033206016,0.8867894,0.11817595395266588,0.4350124296291785
MGE interneuron,Upper-layer intratelencephalic,EFNB2,EPHA6,3.4345114,0.0,8.904368,0.08145217073535478,-0.014875911877580084,0.01728589,0.84966004,0.9444320663812399,0.43634800807025
Hippocampal CA1-3,Hippocampal dentate gyrus,EFNA5,EPHA7,4.361329,0.0,18.410107,0.3365437122009581,0.5688906108803655,0.025063988,0.8904276,0.1341351238774228,0.4387142295176433
Astrocyte_2,Hippocampal CA1-3,EFNB2,GRM5,3.8987422,0.0,7.0016737,0.11287194508006126,0.34049900439425684,0.012483617,0.8336529,1.0,0.4419783074117608
Hippocampal CA1-3,Upper-layer intratelencephalic,EFNA5,EPHA6,4.3572807,0.0,18.381124,0.059515310455476374,-0.3170908891715212,0.016725753,0.89035064,1.0,0.442427854127386
Upper-layer intratelencephalic,Hippocampal CA1-3,SERPINF1,PLXDC1,0.7928622,0.0,0.6182652,0.10891706624656126,-0.2856504916535827,0.02656198,0.5982664,1.0,0.44248238650634913
MGE interneuron,Hippocampal CA1-3,EFNB2,EPHA4,3.459061,0.0,8.98951,0.31061875186442606,0.536937176081695,0.023602452,0.8502668,0.20595369960294904,0.44481145368226993
CGE interneuron,Hippocampal dentate gyrus,SLIT2,ROBO2,4.35081,0.0,16.804037,0.024696315820097146,-0.5078426439981865,0.016200786,0.88589466,1.0,0.44615325204660483
Hippocampal CA1-3,CGE interneuron,EFNA5,EPHA6,4.3452797,0.0,18.295202,0.055656707005018895,-0.39871940068647893,0.016647568,0.8901218,1.0,0.4498903718634978
MGE interneuron,Upper-layer intratelencephalic,EFNB2,EPHA4,3.3216171,0.0,8.512835,0.26080763331559564,0.3240122557624976,0.022350917,0.8467654,0.2732949077482183,0.45051401631186727
Hippocampal CA1-3,Astrocyte_2,CNTN6,PTPRG,3.5556748,0.0,9.082739,0.09593362119174968,-0.04167311714130184,0.018245218,0.8509224,0.8561618709767225,0.45051401631186727
Hippocampal dentate gyrus,CGE interneuron,CNTN6,PTPRG,3.4139814,0.0,6.9035006,0.03252574409244567,-0.1344627157701237,0.013867608,0.8326715,1.0,0.45051401631186727
MGE interneuron,MGE interneuron,SEMA3E,NRP1,0.83471394,1.0,0.62665653,-0.16896271753499414,-0.7526190744927597,0.009625844,0.5998854,1.0,0.45158385869320894
Hippocampal dentate gyrus,CGE interneuron,EFNB2,GRM5,3.5729375,0.0,9.14664,0.044192324275213746,-0.1448950611975528,0.01630798,0.8513665,1.0,0.4533836362822248
Deep-layer intratelencephalic,Hippocampal dentate gyrus,EFNA5,EPHA3,3.4107847,0.0,6.808216,0.22556820107480474,0.22253986754252342,0.01714028,0.83170104,0.9262558776835654,0.4533836362822248
Deep-layer intratelencephalic,Upper-layer intratelencephalic,EFNA5,EPHA3,4.342638,0.0,17.258814,0.6073958846158554,1.0159156026919982,0.04345058,0.8872374,0.05195624619987364,0.45363916216626254
Astrocyte_2,Upper-layer intratelencephalic,EFNB2,GRM5,3.79989,0.0,6.7969627,0.08031235120571611,0.18856766575841633,0.012118629,0.8315852,1.0,0.4562652632711785
CGE interneuron,CGE interneuron,EFNB2,EPHA6,3.4572082,0.0,9.217426,0.09324586014760392,-0.022876002527840278,0.017893627,0.8518536,0.8848655733693972,0.45915907454224814
Astrocyte_2,MGE interneuron,EFNB2,GRM5,3.799859,0.0,6.7968984,0.08029853857787739,0.22274370010175204,0.012118514,0.8315846,1.0,0.45915907454224814
MGE interneuron,Astrocyte,FN1,ITGA6,0.8261424,0.998,0.63099515,-0.029495023052224408,0.30608839732492443,0.0127159115,0.60071313,1.0,0.4606637422053429
CGE interneuron,Upper-layer intratelencephalic,EFNB2,EPHA6,3.4692097,0.0,9.2607155,0.0971044635980614,0.05875250898711748,0.017977662,0.85214907,0.8448781783818905,0.4620650958003141
Astrocyte_2,Hippocampal dentate gyrus,EFNB2,GRM5,3.774498,0.0,6.744379,0.07194653099772419,0.15877613103064192,0.012024874,0.8310407,1.0,0.4620650958003141
Deep-layer intratelencephalic,Deep-layer intratelencephalic,EFNA5,EPHA3,4.322554,0.0,17.033577,0.599166330464149,1.1959078520430584,0.042883523,0.8865786,0.05305158048054569,0.464955041871768
Hippocampal dentate gyrus,Upper-layer intratelencephalic,EFNB2,EPHA4,3.2898355,0.0,8.200791,0.24647030711075665,0.17928880353486143,0.021531628,0.8443269,0.3386492997118399,0.4649835075368811
Astrocyte_2,Deep-layer intratelencephalic,EFNB2,GRM5,3.7713766,0.0,6.737915,0.07091788629576162,0.14748068946084292,0.01201335,0.8309733,1.0,0.4649835075368811
Hippocampal dentate gyrus,Astrocyte_2,CNTN6,PTPRG,3.3383098,0.184,6.7167244,0.0026608570950272387,-0.11983892593551948,0.013492417,0.830752,1.0,0.46791402653325376
Hippocampal CA1-3,CGE interneuron,CNTN6,PTPRG,3.6313462,0.0,9.335308,0.1257985081891681,-0.05629690697590606,0.018752573,0.8526537,0.6983219573828922,0.46791402653325376
CGE interneuron,Hippocampal CA1-3,EFNA5,EPHA7,4.3179607,0.0,18.508013,0.3184941264097115,0.31313954453124504,0.025197279,0.8906861,0.1442952344950954,0.46875
Deep-layer intratelencephalic,MGE interneuron,APOD,LEPR,0.86778474,0.001,0.6364729,0.08757867998801488,-0.219138678039557,0.027946318,0.60174936,1.0,0.4697220026753266
CGE interneuron,Hippocampal CA1-3,EFNB2,EPHA4,3.4937592,0.0,9.349263,0.3262710447271327,0.6105655969463926,0.024547009,0.8527475,0.15660171386814373,0.470856832632625
Hippocampal dentate gyrus,MGE interneuron,EFNB2,EPHA6,3.6498418,0.0,9.403578,0.14656226688575996,0.16373539374256385,0.018254997,0.85311085,0.7431600362642373,0.47677956635339586
Upper-layer intratelencephalic,MGE interneuron,VEGFA,NRP1,0.8402438,1.0,0.6388164,-0.2329094049681293,-1.4722422844439482,0.006403573,0.6021896,1.0,0.4787586958815032
